"gauge_name","HYPE_mean_mean","HYPE_mean_lower_quartile","HYPE_mean_upper_quartile","PRMS_mean_mean","PRMS_mean_lower_quartile","PRMS_mean_upper_quartile","Obs_mean_mean","Obs_mean_lower_quartile","Obs_mean_upper_quartile","RAVEN_mean_mean","RAVEN_mean_lower_quartile","RAVEN_mean_upper_quartile"
"SWCSB",2.26478300791859,0.0827750576036866,1.80771290322581,2.36048577224857,0.10380957103231,3.20642780567254,5.5632177494713,1.43807934695962,7.23715739855877,2.7150903218777,0.201902733870968,4.70473919354839
"SMRBB",15.2959746646276,2.16020967741935,15.2958112903226,17.4146129782097,1.67115004040325,23.3743060116788,20.4763643871315,4.76038120433306,26.0516461705592,18.1592718186641,2.26718898387097,24.4589065322581
"SMRIB",21.0858951443156,4.03804838709677,24.2188024193548,21.6432172839347,2.87228171814337,28.860089544282,24.3937836050608,6.07463753454458,29.3499823991782,24.1775434275384,3.13597209093437,31.525985483871
"MRWIB",1.77801772950467,0.329833333333333,1.74757983870968,2.0682319066915,0.473063581631066,2.32455950164815,2.63726311103724,0.459466496285997,3.12610468913671,1.67439657697309,0.0138539176290323,1.5521432594086
"NFKMR",0.260289867041551,0.0479112903225806,0.301475,0.4862673220792,0.224636553904314,0.593994413154788,0.652543499926024,0.345056598330176,0.797580857241338,0.213062253244475,8.72872914349277e-07,0.0713113717741936
"MREIB",3.0761104291559,0.470928571428571,3.09458064516129,5.77423591125329,1.20732476102138,5.85856873879087,5.52367509966658,1.32729868471682,6.5288484009939,3.53176564088389,0.214898836774194,3.4690158
"CLCMO",0.111992633440102,0.000123559907834101,0.03745,0.676419394656667,0.0913113062316645,0.569501933699468,0.657069630853098,0.027193778825116,0.747815977115039,0.434870437288973,0.0024742083422043,0.329811661290323
"LDCIB",0.856039420006045,0.00393548387096774,0.618863440860215,2.27229503911379,0.0394781414386323,1.12655264576247,0.973739586888161,0,0.48576699739908,0.565859620185581,0.00732907490989989,0.313113445967742
"BTCIB",0.999927753000533,0.0111333333333333,0.904444988479263,3.31697635959708,0.145111211856723,2.40693606868947,1.26779022834483,0.187106611067407,1.3414975572438,1.04346263634299,0.00266530064516129,0.843117337903226
"PPCMO",1.1459561959081,0.116564228110599,1.17971607142857,1.67595999786733,0.14682617733264,0.889745823216122,0.863201321085061,0.00976113474472041,0.726684172123527,0.923994793368202,0.0219618539166667,0.654885067258065
"BCBMO",1.49203886166443,0.0843629032258064,1.0740564516129,1.67827172883483,0.219391513004826,1.02594914533942,2.01068588563932,0.0212179740166918,1.09970672097347,1.17945479546448,0.0427940224516129,0.505696980376344
"RKCMO",1.13723164002902,0.0031241935483871,0.435524193548387,1.35983675314076,0.0494760308962667,0.752653461374581,0.428162931224705,0.0107810205238536,0.242501940814755,0.483003146027255,0.00208525081428571,0.112033991935484
