"gauge_name","HYPE_mean_mean","HYPE_mean_lower_quartile","HYPE_mean_upper_quartile","PRMS_mean_mean","PRMS_mean_lower_quartile","PRMS_mean_upper_quartile","Obs_mean_mean","Obs_mean_lower_quartile","Obs_mean_upper_quartile","RAVEN_mean_mean","RAVEN_mean_lower_quartile","RAVEN_mean_upper_quartile"
"SWCSB",2.26936310981651,0.386632585625231,3.23159593339844,2.36593830337833,0.538042358562957,4.07308327400562,5.57443462330978,2.3995745875466,7.24082932084834,2.72039866359148,0.904063252490894,4.76387117653857
"SMRBB",15.3307704422715,3.96051772400191,20.4310076735125,17.4579543301372,4.69796022015098,29.4151019607894,20.5157267013644,8.0820965724469,28.4378182286531,18.1924612508532,5.78761453767038,28.8917829024251
"SMRIB",21.1324035661023,6.33614312601493,27.6175630296015,21.6965893891247,6.11501405085303,35.5665598622012,24.4383292466297,9.8313363056122,33.3610004285653,24.2220883089881,7.67845230788498,37.4410535620047
"MRWIB",1.78184215865007,0.67284199168798,2.20187090925027,2.07156606336478,0.878153713081638,2.62101978064696,2.33753010444902,0.842736931994217,3.49055080257538,1.67943967799914,0.164551596115759,2.36210840948213
"NFKMR",0.260819501972463,0.103740169437341,0.347936511208134,0.486414337227443,0.295900449948351,0.618564321970323,0.633343506190298,0.523446349499587,0.716724341468336,0.213712873407002,0.0181872579071051,0.328787264753777
"MREIB",3.08232823095156,1.16317671035806,3.96807610136623,5.77585673636506,3.3256586070863,7.1825888925513,5.56749577596782,2.20802533179277,8.86979042133386,3.5390976306684,0.809623303406489,4.88727079046007
"CLCMO",0.112303339473933,0.0326652813299233,0.143328549379334,0.678073591583373,0.219424216715392,1.10473818586942,0.765206428542995,0.324220241132527,1.17112788235683,0.43635211104881,0.111764359092287,0.554307456474916
"LDCIB",0.855145419436268,0.255885629795397,1.06500751385952,2.27874099375696,0.55576609013603,2.81900826370496,1.08019868572382,0.212563875124866,1.70769489397604,0.568077461747242,0.0726504060737178,0.767396145742757
"BTCIB",1.00186610566652,0.279479379795396,1.51606656198985,3.32709661066037,0.621743113637014,4.24508105704017,1.2735258187149,0.469145599072911,2.05345978109596,1.04643969972121,0.305755172190584,1.26834900976051
"PPCMO",1.14745170596369,0.578263187340153,1.57902684665783,1.68077992066867,0.514536156669916,2.83594796082384,0.865896090220098,0.506360461686814,1.20740505702287,0.926238722724444,0.300413199791783,1.12809612196814
"BCBMO",1.49377218458099,0.729294452762115,1.75249202172508,1.68135633746428,0.655262788789249,2.48411119956086,1.74663739990768,1.15691832068446,2.31801071976111,1.18138551185208,0.34221694205712,1.43208429721385
"RKCMO",1.14037289216321,0.340085038363171,1.42536841124977,1.36493653810801,0.269673385105857,2.23588557858135,0.431715903805946,0.0940400968130828,0.721196160381612,0.483847496869691,0.0715584869630838,0.602798008800901
