"gauge_name","HYPE_mean_mean","HYPE_mean_lower_quartile","HYPE_mean_upper_quartile","PRMS_mean_mean","PRMS_mean_lower_quartile","PRMS_mean_upper_quartile","Obs_mean_mean","Obs_mean_lower_quartile","Obs_mean_upper_quartile","RAVEN_mean_mean","RAVEN_mean_lower_quartile","RAVEN_mean_upper_quartile"
"SWCSB",3.66216333912424,0.418428571428571,3.919,3.79014877522913,0.637764792243657,5.44831775483611,8.03631177427628,2.64255958765017,11.0967277036766,4.2777267501078,1.21583628571429,6.97757714285714
"SMRBB",23.6882595572186,5.2025,28.777,27.4975607602591,6.95933768783177,40.2030846723854,30.0078323662964,9.2936996880458,43.5401822996123,28.379940841739,8.56742285714286,40.6041142857143
"SMRIB",31.8696641632144,8.18542857142857,40.2508571428571,33.8670566595447,9.34137058072183,48.6413572957317,35.5487538053395,11.9527266799541,50.5144278886423,37.743526573442,11.940825,55.1372428571429
"MRWIB",2.26412648224865,0.165428571428571,2.37657142857143,2.96059700745431,0.705879645111771,3.24930941461714,2.45521695681541,0.319577804343749,2.85597379666619,2.70381077869994,0.0822725857142857,2.91942857142857
"NFKMR",0.310990173281661,0.00314285714285714,0.294428571428571,0.632660997803238,0.296597744011886,0.696795809844114,0.643843191424843,0.335961223511427,0.73452328903511,0.346321279194296,0.000118771857142857,0.219178857142857
"MREIB",3.84053862310125,0.238428571428571,3.99342857142857,7.80888663786308,1.59402222210606,7.19924025763627,4.99167033971716,0.995545540123145,5.14277547782928,5.46155024052697,0.517871428571429,5.91118142857143
"CLCMO",0.151681025880885,0,0.0388571428571429,1.04315815197312,0.205488007169371,0.941414709892571,0.644230223135473,0.0156375689890362,0.700451845309735,0.665513751554849,0.0108622914285714,0.714557714285714
"LDCIB",1.14325067263575,0.00142857142857143,0.448714285714286,3.52981893134943,0.165948939754057,1.52203278958446,0.722502855733601,0,0.225050574166563,0.908800737613569,0.0439802714285714,0.50141
"BTCIB",1.10051814780168,0.00328571428571429,0.485285714285714,5.21691460288212,0.318278392709943,2.9223635042784,1.13088291045244,0.114381403904398,1.2051005819963,1.58925172405384,0.0127625714285714,1.15326114285714
"PPCMO",1.29164463673215,0.049,0.919857142857143,2.5230912372999,0.204234167582171,1.11687038418651,0.926117558624913,0.00262943762399406,0.709584084486034,1.38343355209943,0.0423094714285714,0.959086
"BCBMO",2.08416898748274,0.0365714285714286,1.02842857142857,2.58652136643854,0.376542975665829,1.5018894316416,1.94535252204259,0.00161811546216411,0.582117038642167,1.78841930027001,0.0812074,0.694737571428571
"RKCMO",1.57434570582209,0.00185714285714286,0.429714285714286,2.1599841066003,0.196173685285486,1.13654498177691,0.460919062632492,0.0125808477430021,0.231188247103699,0.776326740377634,0.01408101,0.203794857142857
