"kge_HYPE_Obs","kge_PRMS_Obs","kgeRAVEN_Obs","kge_HYPE_RAVEN","kge_HYPE_PRMS","kge_PRMS_RAVEN","nse_HYPE_Obs","nse_PRMS_Obs","nse_RAVEN_Obs","nse_HYPE_PRMS","nse_HYPE_RAVEN","nse_PRMS_RAVEN","lnse_HYPE_Obs","lnse_PRMS_Obs","lnse_RAVEN_Obs","lnse_HYPE_PRMS","lnse_HYPE_RAVEN","lnse_PRMS_RAVEN","gauge_name"
0.308896684762797,0.271674388190663,0.273803962620664,0.646751202442572,0.84257795958556,0.817325633374004,0.434283867087266,0.34745551970714,0.316439830720943,0.813439925851435,0.420898393281961,0.784592040259353,-5.00531810651623,-4.18623402364109,-1.79829327130585,0.388990394134176,1,0.521225256603684,"SWCSB"
0.728524649012193,0.821800201547853,0.859538923259512,0.811928618519261,0.828990474199108,0.936423626552244,0.78661335639367,0.789389378921901,0.844608915555341,0.778783300982063,0.783179819551912,0.927511928648397,0.0650800034864873,-0.00264625959122999,-0.0460567217219123,0.465287126826401,1,0.709751574111649,"SMRBB"
0.84019993810973,0.858158354395136,0.908583171177934,0.831234079870362,0.889941640565567,0.875206864837182,0.821168391474863,0.818105286140846,0.855519285352535,0.789975911874605,0.829560948898689,0.928699958303765,0.569403959359163,0.449586561020046,0.0148276117150133,0.609602184593698,1,0.77919868798232,"SMRIB"
0.615400431551705,0.660650125938619,0.532720591037205,0.590401772956185,0.746521223166,0.656279747187128,0.33673699045531,0.348846553703101,-0.0341198081135476,0.631346721145497,0.411178154199072,0.610112928381919,NA,NA,NA,-0.0801794147106871,NA,NA,"MRWIB"
0.33830649049994,0.630160529985143,0.225816851103366,0.427320556248544,0.413874587288771,-0.323280914686424,-0.195788459320839,0.209216237759647,-0.786036954029344,0.26697058019232,0.28563019884847,0.253895211816383,NA,0.0647968160247141,NA,-Inf,NA,NA,"NFKMR"
0.584514446228288,0.101134620418904,0.672269665281819,0.628403968364619,0.271822793751352,0.173515454701306,0.58079093433761,-0.750551713754605,0.397302141081375,0.433653609325779,0.603371204978015,-0.102556797775108,-0.535133078683527,NA,-0.23914149626663,-0.573066280434309,1,NA,"MREIB"
-0.162798852504127,-0.100679912991244,0.697628567485245,-0.143596355921128,-0.371535307157317,0.114427889935188,0.0345611926035639,-1.24685474377935,0.470698299775491,-0.0935575460128499,0.0787282392316816,-0.769118653159342,NA,NA,NA,NA,1,NA,"CLCMO"
0.450920941921685,-2.58952119769914,0.322178811950326,0.297115548338354,0.00830739244712142,-2.64609120695205,-0.0387995133205121,-10.3160356587862,-0.544600966513766,0.29316962298387,0.170437002844418,-4.57241264379686,NA,NA,NA,-Inf,1,NA,"LDCIB"
0.585742498933149,-3.97114989802082,0.144755852386707,0.625263343728073,-0.0703342988698163,-1.99359980217766,0.0884464908994113,-23.2456571163143,-1.12330663903583,0.230890902085515,0.571951559039123,-4.1786967038958,NA,NA,NA,-Inf,1,NA,"BTCIB"
0.529861219977428,-0.0749849424789293,0.47980120612087,0.746596148873941,0.401059014572249,-0.158754390839174,0.503451808760919,-1.28485735411221,0.410485262986589,0.525970352177713,0.835065195828709,-0.417571901961824,NA,NA,NA,-0.173346732660108,1,NA,"PPCMO"
0.400157604499205,0.273166151592456,0.649941493869431,0.614684945280394,0.86663235458051,0.441329331163624,-0.203086590740044,-0.502027682593204,0.3240421827156,0.912289819169007,0.842134807430231,0.675443419296268,NA,NA,NA,-0.895438461837782,1,0.298927315052296,"BCBMO"
-1.50004458245714,-2.41345382653443,-0.246692621959045,-0.464146121348213,0.544079830614549,-0.982652424835947,-4.9559689473957,-10.9009296341092,-2.89582129313763,0.356786254439128,-0.305407145764371,-0.609174160398263,NA,NA,NA,-Inf,1,NA,"RKCMO"
