"kge_HYPE_Obs","kge_PRMS_Obs","kgeRAVEN_Obs","kge_HYPE_RAVEN","kge_HYPE_PRMS","kge_PRMS_RAVEN","nse_HYPE_Obs","nse_PRMS_Obs","nse_RAVEN_Obs","nse_HYPE_PRMS","nse_HYPE_RAVEN","nse_PRMS_RAVEN","lnse_HYPE_Obs","lnse_PRMS_Obs","lnse_RAVEN_Obs","lnse_HYPE_PRMS","lnse_HYPE_RAVEN","lnse_PRMS_RAVEN","gauge_name"
0.294995200391057,0.229953159334407,0.192122060774167,0.366480371293672,0.773958864910363,0.568301945053724,0.36125677380443,0.22947936358771,0.248836570217505,0.581248017100989,-0.325520634076011,0.204117940857894,-Inf,-4.43500122252397,-1.93016397005874,-Inf,NA,0.418049823435019,"SWCSB"
0.701428992181478,0.795306769116534,0.823955508749419,0.721158170411454,0.796886033839955,0.875301250010113,0.638840736826166,0.703016821428801,0.755026209777483,0.666073953034473,0.517692081616408,0.778827751128829,-1.12920545849727,-0.120464427073486,-0.388280569413642,-0.00410005161013838,0.540582723276587,0.645647708662912,"SMRBB"
0.784898695920154,0.833137113361271,0.877681295150194,0.755638271904891,0.836074996772886,0.84869615434613,0.659896263643874,0.742031325969254,0.758006222828569,0.679972130493656,0.566347290526287,0.788818196968762,-0.266988035192897,0.37399300877063,-0.35737013117929,0.239340767988943,0.553790320544613,0.699249770297969,"SMRIB"
0.554458957101667,0.655410294795628,0.436528818944362,0.474712318804697,0.672378733829056,0.577564083557183,0.140062701381868,0.337037737551286,-0.154751675411353,0.421134598384691,-0.00628487057558447,0.297546866657338,NA,NA,NA,-0.761142638517235,NA,NA,"MRWIB"
0.307374871084272,0.599536055878555,0.153577104296405,0.310152941409441,0.393718469239828,-0.402257337745623,-0.247207441822857,0.133192815379247,-0.657386639286849,0.138127368738748,-0.440807278308927,-0.410311114791812,NA,-0.142833923890304,NA,-Inf,NA,NA,"NFKMR"
0.436233820856143,-0.422984197028948,0.456936689310488,0.654529457058977,0.0308564593511652,-0.551650249044964,0.32292213882647,-2.83652242954302,0.104543293652759,0.171886100567558,0.528961936415397,-3.45346171994732,-1.71428087804789,NA,-0.991081066394591,-1.14438569058678,0.198523632463947,NA,"MREIB"
-0.217475801120313,-1.24288339282808,0.626167007226647,-0.225033630375443,-0.465660446017668,-0.98931175009712,-0.141716328770954,-7.54901605438173,0.326195678268358,-0.0350292253886315,-0.255884439522475,-6.27812355892527,NA,NA,NA,NA,NA,NA,"CLCMO"
0.355119686255683,-1.84940921428873,0.156353762770697,0.200000647309265,-0.00117967247660555,-2.94208551896463,0.0688594800524928,-3.76473682831958,-0.144760586143302,0.272204031109986,-0.408794353977733,-8.69641262773072,NA,NA,NA,-Inf,NA,NA,"LDCIB"
0.487177725487307,-3.11516896620012,0.281632242888137,0.536456762798497,-0.122457902711599,-2.20617523571296,-0.00217427735492071,-13.1305646911622,-0.616824991903938,0.178430273162876,0.253686609011239,-7.24096128866836,NA,NA,NA,-Inf,-Inf,NA,"BTCIB"
0.463946762930665,-0.113812178654632,0.230002397985083,0.651665300656968,0.312566425846372,-0.434868334808415,0.412216766481987,-1.59023392791909,0.139054704638125,0.412485300131195,0.4682536171764,-1.53790528259428,NA,NA,NA,-Inf,-Inf,NA,"PPCMO"
0.549497328855242,0.435639960920977,0.53727340887747,0.651857462104021,0.821658106924127,0.454727178321866,0.0283753578003221,-0.16411291473283,0.168806855187298,0.802856549178778,0.704702594593807,0.590827824173349,NA,NA,NA,-Inf,-Inf,0.103087669615307,"BCBMO"
-1.35457019939231,-1.80155357650153,0.0393673715384798,-0.664554093443809,0.461000831375955,-1.03669186367983,-4.93287405936578,-5.74051578389041,-1.60796482404784,-0.0167889280604805,-1.69491885979027,-1.17862547234154,NA,NA,NA,NA,NA,NA,"RKCMO"
